ID,Name,Description,Bodypart,Object,Feature_Spec
SkinAndLeather,Colexification of SKIN and LEATHER,Computes if the concepts SKIN and LEATHER are expressed with the same form in a language (i.e. they are colexified),SKIN,LEATHER,
SkinAndBark,Colexification of SKIN and BARK,Computes if the concepts SKIN and BARK are expressed with the same form in a language (i.e. they are colexified),SKIN,BARK,
NeckAndCollar,Colexification of NECK and COLLAR,Computes if the concepts NECK and COLLAR are expressed with the same form in a language (i.e. they are colexified),NECK,COLLAR,
TesticlesAndEgg,Colexification of TESTICLES and EGG,Computes if the concepts TESTICLES and EGG are expressed with the same form in a language (i.e. they are colexified),TESTICLES,EGG,
HeadAndTop,Colexification of HEAD and TOP,Computes if the concepts HEAD and TOP are expressed with the same form in a language (i.e. they are colexified),HEAD,TOP,
ButtocksAndBottom,Colexification of BUTTOCKS and BOTTOM,Computes if the concepts BUTTOCKS and BOTTOM are expressed with the same form in a language (i.e. they are colexified),BUTTOCKS,BOTTOM,
MouthAndEdge,Colexification of MOUTH and EDGE,Computes if the concepts MOUTH and EDGE are expressed with the same form in a language (i.e. they are colexified),MOUTH,EDGE,
LipAndEdge,Colexification of LIP and EDGE,Computes if the concepts LIP and EDGE are expressed with the same form in a language (i.e. they are colexified),LIP,EDGE,
SkinAndShell,Colexification of SKIN and SHELL,Computes if the concepts SKIN and SHELL are expressed with the same form in a language (i.e. they are colexified),SKIN,SHELL,
IntestinesAndSausage,Colexification of INTESTINES and SAUSAGE,Computes if the concepts INTESTINES and SAUSAGE are expressed with the same form in a language (i.e. they are colexified),INTESTINES,SAUSAGE,
BodyAndTreetrunk,Colexification of BODY and TREE TRUNK,Computes if the concepts BODY and TREE TRUNK are expressed with the same form in a language (i.e. they are colexified),BODY,TREE TRUNK,
FingernailAndNailtool,Colexification of FINGERNAIL and NAIL (TOOL),Computes if the concepts FINGERNAIL and NAIL (TOOL) are expressed with the same form in a language (i.e. they are colexified),FINGERNAIL,NAIL (TOOL),
NoseAndCape,Colexification of NOSE and CAPE,Computes if the concepts NOSE and CAPE are expressed with the same form in a language (i.e. they are colexified),NOSE,CAPE,
EyeAndSeed,Colexification of EYE and SEED,Computes if the concepts EYE and SEED are expressed with the same form in a language (i.e. they are colexified),EYE,SEED,
HeartAndFirewood,Colexification of HEART and FIREWOOD,Computes if the concepts HEART and FIREWOOD are expressed with the same form in a language (i.e. they are colexified),HEART,FIREWOOD,
BloodvesselAndRoot,Colexification of BLOOD VESSEL and ROOT,Computes if the concepts BLOOD VESSEL and ROOT are expressed with the same form in a language (i.e. they are colexified),BLOOD VESSEL,ROOT,
ThroatAndCollar,Colexification of THROAT and COLLAR,Computes if the concepts THROAT and COLLAR are expressed with the same form in a language (i.e. they are colexified),THROAT,COLLAR,
ShoulderbladeAndSpade,Colexification of SHOULDERBLADE and SPADE,Computes if the concepts SHOULDERBLADE and SPADE are expressed with the same form in a language (i.e. they are colexified),SHOULDERBLADE,SPADE,
HairheadAndLeaf,Colexification of HAIR (HEAD) and LEAF,Computes if the concepts HAIR (HEAD) and LEAF are expressed with the same form in a language (i.e. they are colexified),HAIR (HEAD),LEAF,
SkinAndSkinoffruit,Colexification of SKIN and SKIN (OF FRUIT),Computes if the concepts SKIN and SKIN (OF FRUIT) are expressed with the same form in a language (i.e. they are colexified),SKIN,SKIN (OF FRUIT),
EarAndLeaf,Colexification of EAR and LEAF,Computes if the concepts EAR and LEAF are expressed with the same form in a language (i.e. they are colexified),EAR,LEAF,
BoneAndRope,Colexification of BONE and ROPE,Computes if the concepts BONE and ROPE are expressed with the same form in a language (i.e. they are colexified),BONE,ROPE,
WaistAndSpade,Colexification of WAIST and SPADE,Computes if the concepts WAIST and SPADE are expressed with the same form in a language (i.e. they are colexified),WAIST,SPADE,
ShoulderbladeAndPaddle,Colexification of SHOULDERBLADE and PADDLE,Computes if the concepts SHOULDERBLADE and PADDLE are expressed with the same form in a language (i.e. they are colexified),SHOULDERBLADE,PADDLE,
WaistAndBelt,Colexification of WAIST and BELT,Computes if the concepts WAIST and BELT are expressed with the same form in a language (i.e. they are colexified),WAIST,BELT,
FootAndWheel,Colexification of FOOT and WHEEL,Computes if the concepts FOOT and WHEEL are expressed with the same form in a language (i.e. they are colexified),FOOT,WHEEL,
ArmAndBranch,Colexification of ARM and BRANCH,Computes if the concepts ARM and BRANCH are expressed with the same form in a language (i.e. they are colexified),ARM,BRANCH,
TesticlesAndSeed,Colexification of TESTICLES and SEED,Computes if the concepts TESTICLES and SEED are expressed with the same form in a language (i.e. they are colexified),TESTICLES,SEED,
RibAndShore,Colexification of RIB and SHORE,Computes if the concepts RIB and SHORE are expressed with the same form in a language (i.e. they are colexified),RIB,SHORE,
VeinAndRoot,Colexification of VEIN and ROOT,Computes if the concepts VEIN and ROOT are expressed with the same form in a language (i.e. they are colexified),VEIN,ROOT,
TendonAndRoot,Colexification of TENDON and ROOT,Computes if the concepts TENDON and ROOT are expressed with the same form in a language (i.e. they are colexified),TENDON,ROOT,
SkinAndBook,Colexification of SKIN and BOOK,Computes if the concepts SKIN and BOOK are expressed with the same form in a language (i.e. they are colexified),SKIN,BOOK,
EyeAndWheel,Colexification of EYE and WHEEL,Computes if the concepts EYE and WHEEL are expressed with the same form in a language (i.e. they are colexified),EYE,WHEEL,
MouthAndHole,Colexification of MOUTH and HOLE,Computes if the concepts MOUTH and HOLE are expressed with the same form in a language (i.e. they are colexified),MOUTH,HOLE,
TesticlesAndBall,Colexification of TESTICLES and BALL,Computes if the concepts TESTICLES and BALL are expressed with the same form in a language (i.e. they are colexified),TESTICLES,BALL,
ShoulderbladeAndOar,Colexification of SHOULDERBLADE and OAR,Computes if the concepts SHOULDERBLADE and OAR are expressed with the same form in a language (i.e. they are colexified),SHOULDERBLADE,OAR,
HeadAndRoof,Colexification of HEAD and ROOF,Computes if the concepts HEAD and ROOF are expressed with the same form in a language (i.e. they are colexified),HEAD,ROOF,
AnkleAndKnot,Colexification of ANKLE and KNOT,Computes if the concepts ANKLE and KNOT are expressed with the same form in a language (i.e. they are colexified),ANKLE,KNOT,
SkullAndTop,Colexification of SKULL and TOP,Computes if the concepts SKULL and TOP are expressed with the same form in a language (i.e. they are colexified),SKULL,TOP,
ArmAndValley,Colexification of ARM and VALLEY,Computes if the concepts ARM and VALLEY are expressed with the same form in a language (i.e. they are colexified),ARM,VALLEY,
HandAndValley,Colexification of HAND and VALLEY,Computes if the concepts HAND and VALLEY are expressed with the same form in a language (i.e. they are colexified),HAND,VALLEY,
TesticlesAndFruit,Colexification of TESTICLES and FRUIT,Computes if the concepts TESTICLES and FRUIT are expressed with the same form in a language (i.e. they are colexified),TESTICLES,FRUIT,
NippleAndSeed,Colexification of NIPPLE and SEED,Computes if the concepts NIPPLE and SEED are expressed with the same form in a language (i.e. they are colexified),NIPPLE,SEED,
BackAndRoof,Colexification of BACK and ROOF,Computes if the concepts BACK and ROOF are expressed with the same form in a language (i.e. they are colexified),BACK,ROOF,
EyeAndGrain,Colexification of EYE and GRAIN,Computes if the concepts EYE and GRAIN are expressed with the same form in a language (i.e. they are colexified),EYE,GRAIN,
HeadAndTipofobject,Colexification of HEAD and TIP (OF OBJECT),Computes if the concepts HEAD and TIP (OF OBJECT) are expressed with the same form in a language (i.e. they are colexified),HEAD,TIP (OF OBJECT),
LegAndSky,Colexification of LEG and SKY,Computes if the concepts LEG and SKY are expressed with the same form in a language (i.e. they are colexified),LEG,SKY,
EarAndEarring,Colexification of EAR and EARRING,Computes if the concepts EAR and EARRING are expressed with the same form in a language (i.e. they are colexified),EAR,EARRING,
SkinAndBasket,Colexification of SKIN and BASKET,Computes if the concepts SKIN and BASKET are expressed with the same form in a language (i.e. they are colexified),SKIN,BASKET,
EyeAndFire,Colexification of EYE and FIRE,Computes if the concepts EYE and FIRE are expressed with the same form in a language (i.e. they are colexified),EYE,FIRE,
ForeheadAndCape,Colexification of FOREHEAD and CAPE,Computes if the concepts FOREHEAD and CAPE are expressed with the same form in a language (i.e. they are colexified),FOREHEAD,CAPE,
RibAndSide,Colexification of RIB and SIDE,Computes if the concepts RIB and SIDE are expressed with the same form in a language (i.e. they are colexified),RIB,SIDE,
ToothAndBead,Colexification of TOOTH and BEAD,Computes if the concepts TOOTH and BEAD are expressed with the same form in a language (i.e. they are colexified),TOOTH,BEAD,
TongueAndFlame,Colexification of TONGUE and FLAME,Computes if the concepts TONGUE and FLAME are expressed with the same form in a language (i.e. they are colexified),TONGUE,FLAME,
FootAndCorner,Colexification of FOOT and CORNER,Computes if the concepts FOOT and CORNER are expressed with the same form in a language (i.e. they are colexified),FOOT,CORNER,
FaceAndSide,Colexification of FACE and SIDE,Computes if the concepts FACE and SIDE are expressed with the same form in a language (i.e. they are colexified),FACE,SIDE,
HeadAndCape,Colexification of HEAD and CAPE,Computes if the concepts HEAD and CAPE are expressed with the same form in a language (i.e. they are colexified),HEAD,CAPE,
FaceAndEdge,Colexification of FACE and EDGE,Computes if the concepts FACE and EDGE are expressed with the same form in a language (i.e. they are colexified),FACE,EDGE,
BackAndBark,Colexification of BACK and BARK,Computes if the concepts BACK and BARK are expressed with the same form in a language (i.e. they are colexified),BACK,BARK,
EyeAndFruit,Colexification of EYE and FRUIT,Computes if the concepts EYE and FRUIT are expressed with the same form in a language (i.e. they are colexified),EYE,FRUIT,
BodyAndShell,Colexification of BODY and SHELL,Computes if the concepts BODY and SHELL are expressed with the same form in a language (i.e. they are colexified),BODY,SHELL,
BodyAndLeather,Colexification of BODY and LEATHER,Computes if the concepts BODY and LEATHER are expressed with the same form in a language (i.e. they are colexified),BODY,LEATHER,
MouthAndDoor,Colexification of MOUTH and DOOR,Computes if the concepts MOUTH and DOOR are expressed with the same form in a language (i.e. they are colexified),MOUTH,DOOR,
ElbowAndCorner,Colexification of ELBOW and CORNER,Computes if the concepts ELBOW and CORNER are expressed with the same form in a language (i.e. they are colexified),ELBOW,CORNER,
HairAndLeaf,Colexification of HAIR and LEAF,Computes if the concepts HAIR and LEAF are expressed with the same form in a language (i.e. they are colexified),HAIR,LEAF,
HeadAndSummit,Colexification of HEAD and SUMMIT,Computes if the concepts HEAD and SUMMIT are expressed with the same form in a language (i.e. they are colexified),HEAD,SUMMIT,
SkinAndLoincloth,Colexification of SKIN and LOINCLOTH,Computes if the concepts SKIN and LOINCLOTH are expressed with the same form in a language (i.e. they are colexified),SKIN,LOINCLOTH,
BellyAndPen,Colexification of BELLY and PEN,Computes if the concepts BELLY and PEN are expressed with the same form in a language (i.e. they are colexified),BELLY,PEN,
BoneAndTree,Colexification of BONE and TREE,Computes if the concepts BONE and TREE are expressed with the same form in a language (i.e. they are colexified),BONE,TREE,
ToothAndLeaf,Colexification of TOOTH and LEAF,Computes if the concepts TOOTH and LEAF are expressed with the same form in a language (i.e. they are colexified),TOOTH,LEAF,
HeelAndMortar,Colexification of HEEL and MORTAR,Computes if the concepts HEEL and MORTAR are expressed with the same form in a language (i.e. they are colexified),HEEL,MORTAR,
HipAndSide,Colexification of HIP and SIDE,Computes if the concepts HIP and SIDE are expressed with the same form in a language (i.e. they are colexified),HIP,SIDE,
LegAndCup,Colexification of LEG and CUP,Computes if the concepts LEG and CUP are expressed with the same form in a language (i.e. they are colexified),LEG,CUP,
NoseAndArrow,Colexification of NOSE and ARROW,Computes if the concepts NOSE and ARROW are expressed with the same form in a language (i.e. they are colexified),NOSE,ARROW,
HandAndBranch,Colexification of HAND and BRANCH,Computes if the concepts HAND and BRANCH are expressed with the same form in a language (i.e. they are colexified),HAND,BRANCH,
PenisAndEgg,Colexification of PENIS and EGG,Computes if the concepts PENIS and EGG are expressed with the same form in a language (i.e. they are colexified),PENIS,EGG,
LungAndLake,Colexification of LUNG and LAKE,Computes if the concepts LUNG and LAKE are expressed with the same form in a language (i.e. they are colexified),LUNG,LAKE,
BloodvesselAndThread,Colexification of BLOOD VESSEL and THREAD,Computes if the concepts BLOOD VESSEL and THREAD are expressed with the same form in a language (i.e. they are colexified),BLOOD VESSEL,THREAD,
BoneAndShell,Colexification of BONE and SHELL,Computes if the concepts BONE and SHELL are expressed with the same form in a language (i.e. they are colexified),BONE,SHELL,
LegAndTreetrunk,Colexification of LEG and TREE TRUNK,Computes if the concepts LEG and TREE TRUNK are expressed with the same form in a language (i.e. they are colexified),LEG,TREE TRUNK,
PenisAndSeed,Colexification of PENIS and SEED,Computes if the concepts PENIS and SEED are expressed with the same form in a language (i.e. they are colexified),PENIS,SEED,
LipAndShore,Colexification of LIP and SHORE,Computes if the concepts LIP and SHORE are expressed with the same form in a language (i.e. they are colexified),LIP,SHORE,
FingerAndRing,Colexification of FINGER and RING,Computes if the concepts FINGER and RING are expressed with the same form in a language (i.e. they are colexified),FINGER,RING,
BoneAndStick,Colexification of BONE and STICK,Computes if the concepts BONE and STICK are expressed with the same form in a language (i.e. they are colexified),BONE,STICK,
EyeAndTree,Colexification of EYE and TREE,Computes if the concepts EYE and TREE are expressed with the same form in a language (i.e. they are colexified),EYE,TREE,
BoneAndPlantstem,Colexification of BONE and PLANT STEM,Computes if the concepts BONE and PLANT STEM are expressed with the same form in a language (i.e. they are colexified),BONE,PLANT STEM,
HandAndMountain,Colexification of HAND and MOUNTAIN,Computes if the concepts HAND and MOUNTAIN are expressed with the same form in a language (i.e. they are colexified),HAND,MOUNTAIN,
IntestinesAndBed,Colexification of INTESTINES and BED,Computes if the concepts INTESTINES and BED are expressed with the same form in a language (i.e. they are colexified),INTESTINES,BED,
SkinAndMushroom,Colexification of SKIN and MUSHROOM,Computes if the concepts SKIN and MUSHROOM are expressed with the same form in a language (i.e. they are colexified),SKIN,MUSHROOM,
ToothAndSproutshoot,Colexification of TOOTH and SPROUT (SHOOT),Computes if the concepts TOOTH and SPROUT (SHOOT) are expressed with the same form in a language (i.e. they are colexified),TOOTH,SPROUT (SHOOT),
TesticlesAndCheese,Colexification of TESTICLES and CHEESE,Computes if the concepts TESTICLES and CHEESE are expressed with the same form in a language (i.e. they are colexified),TESTICLES,CHEESE,
NostrilAndHole,Colexification of NOSTRIL and HOLE,Computes if the concepts NOSTRIL and HOLE are expressed with the same form in a language (i.e. they are colexified),NOSTRIL,HOLE,
NoseAndTop,Colexification of NOSE and TOP,Computes if the concepts NOSE and TOP are expressed with the same form in a language (i.e. they are colexified),NOSE,TOP,
ForeheadAndPan,Colexification of FOREHEAD and PAN,Computes if the concepts FOREHEAD and PAN are expressed with the same form in a language (i.e. they are colexified),FOREHEAD,PAN,
LegAndBowl,Colexification of LEG and BOWL,Computes if the concepts LEG and BOWL are expressed with the same form in a language (i.e. they are colexified),LEG,BOWL,
TemplesAndTop,Colexification of TEMPLES and TOP,Computes if the concepts TEMPLES and TOP are expressed with the same form in a language (i.e. they are colexified),TEMPLES,TOP,
NoseAndFlower,Colexification of NOSE and FLOWER,Computes if the concepts NOSE and FLOWER are expressed with the same form in a language (i.e. they are colexified),NOSE,FLOWER,
BoneAndBowl,Colexification of BONE and BOWL,Computes if the concepts BONE and BOWL are expressed with the same form in a language (i.e. they are colexified),BONE,BOWL,
BoneAndPlate,Colexification of BONE and PLATE,Computes if the concepts BONE and PLATE are expressed with the same form in a language (i.e. they are colexified),BONE,PLATE,
ThroatAndNecklace,Colexification of THROAT and NECKLACE,Computes if the concepts THROAT and NECKLACE are expressed with the same form in a language (i.e. they are colexified),THROAT,NECKLACE,
