BODY	OBJECT	VISUAL_BODY	VISUAL_OBJECT	HAPTIC_BODY	HAPTIC_OBJECT
SKIN	BARK	4.3	2.666666667	4.45	0.611111111
INTESTINES	BED	1.4375	4.105263158	0.9375	4.421052632
FINGERNAIL	STAR	3.75	4.444444444	3.35	0.166666667
LEG	SKY	3.823529412	4.736842105	3.117647059	0.052631579
HEART	FIREWOOD	2.166666667	4.764705882	1.333333333	3.882352941
HEAD	SUMMIT	4.473684211	3.777777778	3	0.666666667
RIB	SHORE	3.058823529	3.761904762	3.529411765	1.380952381
HEAD	ROOF	4.473684211	4.105263158	3	1
SHOULDERBLADE	SPADE	3.705882353	2.941176471	3.588235294	1.705882353
INTESTINES	SAUSAGE	1.4375	3.8	0.9375	2.65
BONE	PLANT STEM	3.555555556	4.375	2.444444444	0.75
EYE	FRUIT	4.611111111	4.421052632	1.5	3.105263158
LIP	SHORE	2.941176471	3.761904762	2.941176471	1.380952381
SKIN	BOOK	4.3	4.5	4.45	2.9
HEAD	TOP	4.473684211	4.117647059	3	1.470588235
RIB	SIDE	3.058823529	4	3.529411765	2
ELBOW	CORNER	3.821428571	3.972972973	3.857142857	2.378378378
BUTTOCKS	BOTTOM	4.470588235	3.9	3.823529412	2.35
EYE	SEED	4.611111111	3.647058824	1.5	2.882352941
HEAD	TIP (OF OBJECT)	4.473684211	2.705882353	3	1.705882353
SHOULDERBLADE	OAR	3.705882353	3	3.588235294	2.352941176
KIDNEY	SEED	2.470588235	3.647058824	1.647058824	2.882352941
BONE	SHELL	3.555555556	3.95	2.444444444	3.675
PENIS	SEED	4.352941176	3.647058824	4.058823529	2.882352941
WAIST	BELT	3.315789474	4	2.105263158	3.277777778
BELLY	PEN	4.105263158	4.210526316	3.210526316	4.315789474
BONE	THORN	3.555555556	3.85	2.444444444	3.45
SKULL	TOP	3.333333333	4.117647059	2.444444444	1.470588235
BACK	ROOF	2.78125	4.105263158	1.96875	1
BODY	TREE TRUNK	4.315789474	4.6875	3.894736842	2.9375
EAR	LEAF	3.833333333	4.578947368	3.055555556	4
TESTICLES	SEED	4.368421053	3.647058824	3.789473684	2.882352941
FOOT	WHEEL	4.105263158	3.75	2.736842105	1.9375
SKIN	SHELL	4.3	3.95	4.45	3.675
MOUTH	HOLE	2.947368421	3.888888889	2.578947368	1.888888889
TESTICLES	FRUIT	4.368421053	4.421052632	3.789473684	3.105263158
TESTICLES	BALL	4.368421053	3.823529412	3.789473684	3.117647059
NIPPLE	SEED	3.777777778	3.647058824	3.5	2.882352941
MOUTH	EDGE	2.947368421	4.25	2.578947368	3.1875
TESTICLES	EGG	4.368421053	3.5625	3.789473684	3.1875
TONGUE	FLAME	3.363636364	4.65	2.863636364	2.35
TOOTH	SEED	3.25	3.647058824	3.375	2.882352941
NOSE	CAPE	4.238095238	3.823529412	3.047619048	2.588235294
BLOOD VESSEL	ROOT	3.242424242	3.823529412	1.424242424	1.882352941
BONE	TREE	3.555555556	4.75	2.444444444	2.9
SKIN	LEATHER	4.3	4.65	4.45	4
SKIN	LEAF	4.3	4.578947368	4.45	4
BONE	SEED	3.555555556	3.647058824	2.444444444	2.882352941
HEAD	CAPE	4.473684211	3.823529412	3	2.588235294
WAIST	SPADE	3.315789474	2.941176471	2.105263158	1.705882353
ANKLE	KNOT	4.090909091	4.058823529	3.606060606	4
FOREHEAD	CAPE	4.411764706	3.823529412	2.235294118	2.588235294
SHOULDERBLADE	PADDLE	3.705882353	2.947368421	3.588235294	3.263157895
FINGERNAIL	FORK	3.75	4.111111111	3.35	3.666666667
HIP	SIDE	3.28125	4	1.71875	2
LIP	EDGE	2.941176471	4.25	2.941176471	3.1875
VEIN	ROOT	3.705882353	3.823529412	2.117647059	1.882352941
HAIR	LEAF	4.388888889	4.578947368	3.777777778	4
BODY	SHELL	4.315789474	3.95	3.894736842	3.675
LEG	TREE	3.823529412	4.75	3.117647059	2.9
THROAT	COLLAR	3.388888889	3.473684211	3.166666667	3.368421053
HEAD	BRANCH	4.473684211	4.5	3	2.8125
MOUTH	DOOR	2.947368421	4.647058824	2.578947368	2.764705882
LEG	TREE TRUNK	3.823529412	4.6875	3.117647059	2.9375
NECK	COLLAR	3.933333333	3.473684211	3.533333333	3.368421053
WAIST	PLOUGH (INSTRUMENT)	3.315789474	3.705882353	2.105263158	1.941176471
SHOULDERBLADE	SHOVEL	3.705882353	4	3.588235294	3.444444444
EAR	EARRING	3.833333333	4.409090909	3.055555556	3.181818182
BODY	LEATHER	4.315789474	4.65	3.894736842	4
FACE	EDGE	4.95	4.25	3.1	3.1875
TENDON	ROOT	2.25	3.823529412	1.875	1.882352941
HEAD	GOURD	4.473684211	3.769230769	3	3